"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2021","12.65","12.62","12.76","12.62","377.50K","-0.47%"
"04/15/2021","12.71","12.80","12.95","12.70","160.00K","-1.85%"
"04/14/2021","12.95","12.50","12.99","12.31","137.50K","0.78%"
"04/13/2021","12.85","12.80","13.00","12.80","200.50K","-0.46%"
"04/12/2021","12.91","13.36","13.36","12.90","228.50K","-2.64%"
"04/09/2021","13.26","12.96","13.58","12.11","9.58M","2.31%"
"04/08/2021","12.96","12.75","13.00","12.51","165.00K","0.15%"
"04/07/2021","12.94","13.40","13.40","12.70","52.00K","0.47%"
"04/06/2021","12.88","12.55","12.94","12.55","36.50K","2.88%"
"04/05/2021","12.52","13.00","13.19","12.52","408.00K","-4.43%"
"04/02/2021","13.10","12.50","13.25","12.50","465.50K","0.23%"
"04/01/2021","13.07","13.30","13.54","13.00","153.50K","-4.18%"
"03/31/2021","13.64","13.40","13.73","13.40","280.00K","-0.44%"
"03/30/2021","13.70","13.50","13.70","13.31","252.00K","2.62%"
"03/29/2021","13.35","13.80","13.80","13.30","125.00K","-4.30%"
"03/26/2021","13.95","13.80","14.02","13.75","24.00K","-0.36%"
"03/25/2021","14.00","14.00","14.20","13.95","172.50K","0.00%"
"03/24/2021","14.00","14.19","14.20","13.82","4.50K","-0.71%"
"03/22/2021","14.10","13.90","14.25","13.80","374.00K","1.00%"
"03/19/2021","13.96","13.63","14.00","13.55","129.00K","1.16%"
"03/18/2021","13.80","14.15","14.29","13.65","340.00K","0.00%"
"03/17/2021","13.80","13.52","14.05","13.50","552.50K","3.37%"
"03/16/2021","13.35","13.72","13.72","13.30","193.00K","-1.11%"
"03/15/2021","13.50","13.60","13.60","13.00","374.50K","3.85%"
"03/12/2021","13.00","12.51","13.40","12.51","351.50K","0.00%"
"03/11/2021","13.00","13.75","13.75","13.00","1.00M","-4.76%"
"03/10/2021","13.65","14.40","14.40","13.50","501.50K","-1.09%"
"03/09/2021","13.80","14.20","14.20","13.55","198.00K","-0.72%"
"03/08/2021","13.90","14.63","14.68","13.90","475.00K","-4.14%"
"03/05/2021","14.50","14.58","14.62","14.25","563.50K","-1.49%"
"03/04/2021","14.72","14.82","15.11","14.52","2.61M","-2.84%"
"03/03/2021","15.15","15.49","15.55","14.92","2.60M","-1.30%"
"03/02/2021","15.35","15.12","15.55","15.12","257.00K","0.20%"
"03/01/2021","15.32","15.80","15.80","15.00","318.00K","-1.42%"
"02/26/2021","15.54","16.05","16.20","15.40","941.00K","-2.26%"
"02/25/2021","15.90","15.75","15.95","15.55","283.00K","2.58%"
"02/24/2021","15.50","15.90","15.90","15.40","362.00K","-2.21%"
"02/23/2021","15.85","16.05","16.08","15.75","262.50K","0.63%"
"02/22/2021","15.75","15.99","16.30","15.75","1.19M","-1.25%"
"02/19/2021","15.95","16.34","16.40","15.80","459.00K","-3.04%"
"02/18/2021","16.45","16.25","16.45","15.85","2.14M","1.48%"
"02/17/2021","16.21","16.38","16.65","15.77","5.74M","2.08%"
"02/16/2021","15.88","15.35","16.16","15.18","5.43M","4.82%"
"02/15/2021","15.15","15.06","15.40","15.05","654.50K","0.93%"
"02/12/2021","15.01","15.24","15.38","15.00","678.50K","0.07%"
"02/11/2021","15.00","15.40","15.40","14.90","523.00K","-2.60%"
"02/10/2021","15.40","15.12","15.40","15.10","280.00K","1.72%"
"02/09/2021","15.14","15.05","15.75","15.00","2.74M","0.87%"
"02/08/2021","15.01","15.40","15.40","15.01","93.00K","-0.92%"
"02/04/2021","15.15","15.25","15.39","15.05","1.11M","-0.39%"
"02/03/2021","15.21","15.30","15.48","15.20","876.50K","-0.20%"
"02/02/2021","15.24","15.26","15.55","15.20","638.50K","-0.39%"
"02/01/2021","15.30","15.58","15.80","15.27","659.00K","-0.26%"
